agency,fiscal_year,month,spending,calendar_month,calendar_year
Department of Transportation,2024,10,11310351622.8,7,2024
Department of Transportation,2024,11,14890350100.58,8,2024
Department of Transportation,2024,12,35343013854.909996,9,2024
Department of Transportation,2025,1,2185070555.0299997,10,2024
Department of Transportation,2025,2,10392192079.609999,11,2024
Department of Transportation,2025,3,13716905799.97,12,2024
Department of Transportation,2025,4,8675555749.619999,1,2025
Department of Transportation,2025,5,4662018265.01,2,2025
Department of Transportation,2025,6,6955813992.33,3,2025
Department of Transportation,2025,7,7323011177.41,4,2025
Department of Transportation,2025,8,11542756915.680002,5,2025
Department of Transportation,2025,9,10522641366.210001,6,2025
Department of Transportation,2025,10,9814978296.900002,7,2025
Department of Transportation,2025,11,19148226688.12,8,2025
Department of Transportation,2025,12,29941375023.850002,9,2025
Department of Education,2015,1,25763948721.75,10,2014
Department of Education,2015,2,1607250878.24,11,2014
Department of Education,2015,3,1711601645.8,12,2014
Department of Education,2015,4,9481410281.52,1,2015
Department of Education,2015,5,3985427779.93,2,2015
Department of Education,2015,6,3642424005.19,3,2015
Department of Education,2015,7,1633542934.29,4,2015
Department of Education,2015,8,1162151260.8600001,5,2015
Department of Education,2015,9,1908250609.0300002,6,2015
Department of Education,2015,10,13625113358.83,7,2015
Department of Education,2015,11,5387260940.22,8,2015
Department of Education,2015,12,7374154546.94,9,2015
Department of Education,2016,1,24774816449.98,10,2015
Department of Education,2016,2,2011350051.25,11,2015
Department of Education,2016,3,1521416459.3500001,12,2015
Department of Education,2016,4,9161823787.67,1,2016
Department of Education,2016,5,4083788145.01,2,2016
Department of Education,2016,6,3665183651.36,3,2016
Department of Education,2016,7,1564357345.67,4,2016
Department of Education,2016,8,1112837581.79,5,2016
Department of Education,2016,9,1340506194.5099998,6,2016
Department of Education,2016,10,14565406744.74,7,2016
Department of Education,2016,11,6174876240.2,8,2016
Department of Education,2016,12,6778451571.04,9,2016
Department of Education,2017,1,25698856426.36,10,2016
Department of Education,2017,2,1467168607.43,11,2016
Department of Education,2017,3,2798056502.91,12,2016
Department of Education,2017,4,6159872812.78,1,2017
Department of Education,2017,5,3409400479.05,2,2017
Department of Education,2017,6,1678958633.1100001,3,2017
Department of Education,2017,7,1112867231.22,4,2017
Department of Education,2017,8,3568288438.96,5,2017
Department of Education,2017,9,1473992998.6799998,6,2017
Department of Education,2017,10,13995805945.1,7,2017
Department of Education,2017,11,6442206461.220001,8,2017
Department of Education,2017,12,7157403575.02,9,2017
Department of Education,2018,1,25130001271.98,10,2017
Department of Education,2018,2,1209775011.3100002,11,2017
Department of Education,2018,3,1093081670.9499998,12,2017
Department of Education,2018,4,7451177318.610001,1,2018
Department of Education,2018,5,3910749931.3800006,2,2018
Department of Education,2018,6,2094929629.1100001,3,2018
Department of Education,2018,7,5184670120.389999,4,2018
Department of Education,2018,8,1748042735.49,5,2018
Department of Education,2018,9,1486488074.48,6,2018
Department of Education,2018,10,15943750981.710001,7,2018
Department of Education,2018,11,7473841038.8,8,2018
Department of Education,2018,12,6875687777.33,9,2018
Department of Education,2019,1,27662713527.17,10,2018
Department of Education,2019,2,1850747189.2900002,11,2018
Department of Education,2019,3,1272463198.73,12,2018
Department of Education,2019,4,6863756054.69,1,2019
Department of Education,2019,5,3600005246.9099994,2,2019
Department of Education,2019,6,2120785399.9800003,3,2019
Department of Education,2019,7,3500535378.34,4,2019
Department of Education,2019,8,2019592433.71,5,2019
Department of Education,2019,9,1988960803.86,6,2019
Department of Education,2019,10,16717208112.970001,7,2019
Department of Education,2019,11,5239184816.8,8,2019
Department of Education,2019,12,7458358663.190001,9,2019
Department of Education,2020,1,25050726743.58,10,2019
Department of Education,2020,2,1119145518.11,11,2019
Department of Education,2020,3,1409937704.35,12,2019
Department of Education,2020,4,10234129919.310001,1,2020
Department of Education,2020,5,3652355029.0,2,2020
Department of Education,2020,6,4054474374.01,3,2020
Department of Education,2020,7,9058719827.66,4,2020
Department of Education,2020,8,20474287572.53,5,2020
Department of Education,2020,9,4024148862.22,6,2020
Department of Education,2020,10,17627115522.109997,7,2020
Department of Education,2020,11,6542548883.41,8,2020
Department of Education,2020,12,7082600032.240001,9,2020
Department of Education,2021,1,24364944527.36,10,2020
Department of Education,2021,2,2306831147.43,11,2020
Department of Education,2021,3,1222302292.75,12,2020
Department of Education,2021,4,76187677362.61,1,2021
Department of Education,2021,5,13522223523.98,2,2021
Department of Education,2021,6,89054685018.6,3,2021
Department of Education,2021,7,2890471403.31,4,2021
Department of Education,2021,8,31843319301.58,5,2021
Department of Education,2021,9,7248218027.17,6,2021
Department of Education,2021,10,34152837461.6,7,2021
Department of Education,2021,11,20051905841.91,8,2021
Department of Education,2021,12,10216782498.539999,9,2021
Department of Education,2022,1,29840069716.670002,10,2021
Department of Education,2022,2,8539669764.08,11,2021
Department of Education,2022,3,5467802621.049999,12,2021
Department of Education,2022,4,6451880895.0,1,2022
Department of Education,2022,5,3383504367.48,2,2022
Department of Education,2022,6,3906858848.08,3,2022
Department of Education,2022,7,3155848905.21,4,2022
Department of Education,2022,8,1967683584.47,5,2022
Department of Education,2022,9,1761480065.65,6,2022
Department of Education,2022,10,19656499817.17,7,2022
Department of Education,2022,11,6920934737.66,8,2022
Department of Education,2022,12,7923168485.369999,9,2022
Department of Education,2023,1,24968598135.08,10,2022
Department of Education,2023,2,1076568448.9,11,2022
Department of Education,2023,3,1239322144.83,12,2022
Department of Education,2023,4,6148199923.2,1,2023
Department of Education,2023,5,6673807894.48,2,2023
Department of Education,2023,6,4386294162.61,3,2023
Department of Education,2023,7,1406420430.54,4,2023
Department of Education,2023,8,2359703120.9,5,2023
Department of Education,2023,9,2371131186.6400003,6,2023
Department of Education,2023,10,22536057274.010002,7,2023
Department of Education,2023,11,6743687087.77,8,2023
Department of Education,2023,12,6842955439.589999,9,2023
Department of Education,2024,1,25200542823.690002,10,2023
Department of Education,2024,2,2278951068.1,11,2023
Department of Education,2024,3,2287279903.9,12,2023
Department of Education,2024,4,7324909811.02,1,2024
Department of Education,2024,5,3708991638.6200004,2,2024
Department of Education,2024,6,4775625816.38,3,2024
Department of Education,2024,7,1457947449.84,4,2024
Department of Education,2024,8,4691272130.39,5,2024
Department of Education,2024,9,2338343785.69,6,2024
Department of Education,2024,10,22589135164.91,7,2024
Department of Education,2024,11,7258459192.87,8,2024
Department of Education,2024,12,8392163368.04,9,2024
Department of Education,2025,1,26770136371.21,10,2024
Department of Education,2025,2,1239110087.57,11,2024
Department of Education,2025,3,2461169889.9700003,12,2024
Department of Education,2025,4,9914094582.95,1,2025
Department of Education,2025,5,4262983479.71,2,2025
Department of Education,2025,6,2117634384.33,3,2025
Department of Education,2025,7,6828956780.67,4,2025
Department of Education,2025,8,2062660077.32,5,2025
Department of Education,2025,9,2122851586.53,6,2025
Department of Education,2025,10,21841692446.73,7,2025
Department of Education,2025,11,6408711137.23,8,2025
Department of Education,2025,12,9990147402.92,9,2025
Department of Energy,2015,1,3411259081.9100003,10,2014
Department of Energy,2015,2,492232825.03,11,2014
Department of Energy,2015,3,1912569731.24,12,2014
Department of Energy,2015,4,2231053663.49,1,2015
Department of Energy,2015,5,7255310751.150001,2,2015
Department of Energy,2015,6,2342290612.34,3,2015
Department of Energy,2015,7,2863069081.63,4,2015
Department of Energy,2015,8,1318155640.8000002,5,2015
Department of Energy,2015,9,714121513.88,6,2015
Department of Energy,2015,10,1808641399.8,7,2015
Department of Energy,2015,11,857770104.7399999,8,2015
Department of Energy,2015,12,649256757.2300001,9,2015
Department of Energy,2016,1,3535885041.69,10,2015
Department of Energy,2016,2,844117213.8100001,11,2015
Department of Energy,2016,3,1093802513.4199998,12,2015
Department of Energy,2016,4,3735320851.25,1,2016
Department of Energy,2016,5,3680693798.26,2,2016
Department of Energy,2016,6,7084682979.219999,3,2016
Department of Energy,2016,7,1382392640.95,4,2016
Department of Energy,2016,8,3200856290.71,5,2016
Department of Energy,2016,9,1655065275.5,6,2016
Department of Energy,2016,10,1316450517.02,7,2016
Department of Energy,2016,11,1188430801.54,8,2016
Department of Energy,2016,12,2086320748.8799999,9,2016
Department of Energy,2017,1,3503227556.99,10,2016
Department of Energy,2017,2,875563049.22,11,2016
Department of Energy,2017,3,6196106649.11,12,2016
Department of Energy,2017,4,2456338300.0899997,1,2017
Department of Energy,2017,5,1081829056.25,2,2017
Department of Energy,2017,6,845704421.44,3,2017
Department of Energy,2017,7,1020719352.3,4,2017
Department of Energy,2017,8,1029704206.97,5,2017
Department of Energy,2017,9,6467604800.97,6,2017
Department of Energy,2017,10,2338113912.4500003,7,2017
Department of Energy,2017,11,2955266926.14,8,2017
Department of Energy,2017,12,3192160577.65,9,2017
Department of Energy,2018,1,3593442724.23,10,2017
Department of Energy,2018,2,796287776.11,11,2017
Department of Energy,2018,3,1048770938.59,12,2017
Department of Energy,2018,4,2180202606.18,1,2018
Department of Energy,2018,5,3592989932.56,2,2018
Department of Energy,2018,6,1069772384.28,3,2018
Department of Energy,2018,7,7597187277.44,4,2018
Department of Energy,2018,8,3111154618.2799997,5,2018
Department of Energy,2018,9,3642458749.69,6,2018
Department of Energy,2018,10,5478304135.78,7,2018
Department of Energy,2018,11,2715795141.26,8,2018
Department of Energy,2018,12,3770208311.9900002,9,2018
Department of Energy,2019,1,12241785673.869999,10,2018
Department of Energy,2019,2,688021951.26,11,2018
Department of Energy,2019,3,3058323685.88,12,2018
Department of Energy,2019,4,5333482838.379999,1,2019
Department of Energy,2019,5,1698395330.48,2,2019
Department of Energy,2019,6,1415318306.46,3,2019
Department of Energy,2019,7,3799600099.1899996,4,2019
Department of Energy,2019,8,955672003.4200001,5,2019
Department of Energy,2019,9,952496184.1800001,6,2019
Department of Energy,2019,10,2408901964.42,7,2019
Department of Energy,2019,11,1547405812.28,8,2019
Department of Energy,2019,12,2898738301.98,9,2019
Department of Energy,2020,1,3274664936.7200003,10,2019
Department of Energy,2020,2,954553308.7900001,11,2019
Department of Energy,2020,3,2502176267.38,12,2019
Department of Energy,2020,4,9293865984.9,1,2020
Department of Energy,2020,5,4314434248.0,2,2020
Department of Energy,2020,6,4125909370.75,3,2020
Department of Energy,2020,7,4575205843.35,4,2020
Department of Energy,2020,8,1348863784.71,5,2020
Department of Energy,2020,9,1386611046.99,6,2020
Department of Energy,2020,10,2829579912.95,7,2020
Department of Energy,2020,11,1545077062.65,8,2020
Department of Energy,2020,12,3542652313.2,9,2020
Department of Energy,2021,1,4641848496.42,10,2020
Department of Energy,2021,2,976822535.64,11,2020
Department of Energy,2021,3,951144414.35,12,2020
Department of Energy,2021,4,11698681451.6,1,2021
Department of Energy,2021,5,4404138540.5,2,2021
Department of Energy,2021,6,4662139873.52,3,2021
Department of Energy,2021,7,3866723120.22,4,2021
Department of Energy,2021,8,1669213450.64,5,2021
Department of Energy,2021,9,1716301995.3300002,6,2021
Department of Energy,2021,10,2974595323.4500003,7,2021
Department of Energy,2021,11,2010606028.69,8,2021
Department of Energy,2021,12,2869672618.2400002,9,2021
Department of Energy,2022,1,5272764232.58,10,2021
Department of Energy,2022,2,839444972.85,11,2021
Department of Energy,2022,3,6163886373.900001,12,2021
Department of Energy,2022,4,2063900527.55,1,2022
Department of Energy,2022,5,1069780000.68,2,2022
Department of Energy,2022,6,2330355453.48,3,2022
Department of Energy,2022,7,11191094773.05,4,2022
Department of Energy,2022,8,3930359805.2699995,5,2022
Department of Energy,2022,9,2957471795.05,6,2022
Department of Energy,2022,10,3518859186.62,7,2022
Department of Energy,2022,11,3238809759.8199997,8,2022
Department of Energy,2022,12,4964682013.43,9,2022
Department of Energy,2023,1,5645399053.549999,10,2022
Department of Energy,2023,2,1851353506.8999999,11,2022
Department of Energy,2023,3,1061484182.0100001,12,2022
Department of Energy,2023,4,14203918470.369999,1,2023
Department of Energy,2023,5,5522311948.720001,2,2023
Department of Energy,2023,6,4837624831.7,3,2023
Department of Energy,2023,7,4107240827.6899996,4,2023
Department of Energy,2023,8,2716845821.5299997,5,2023
Department of Energy,2023,9,2513230517.04,6,2023
Department of Energy,2023,10,3541321116.4900002,7,2023
Department of Energy,2023,11,3530641147.0099998,8,2023
Department of Energy,2023,12,6451415242.859999,9,2023
Department of Energy,2024,1,4441082676.23,10,2023
Department of Energy,2024,2,2225324089.4,11,2023
Department of Energy,2024,3,6677236536.690001,12,2023
Department of Energy,2024,4,2536812622.44,1,2024
Department of Energy,2024,5,4630316537.93,2,2024
Department of Energy,2024,6,4506286068.639999,3,2024
Department of Energy,2024,7,12347464084.4,4,2024
Department of Energy,2024,8,3921457103.3199997,5,2024
Department of Energy,2024,9,4234475635.42,6,2024
Department of Energy,2024,10,5024345432.200001,7,2024
Department of Energy,2024,11,4811610292.85,8,2024
Department of Energy,2024,12,9152426082.85,9,2024
Department of Energy,2025,1,8005487023.54,10,2024
Department of Energy,2025,2,1785072368.6599998,11,2024
Department of Energy,2025,3,15107124336.5,12,2024
Department of Energy,2025,4,21883472577.57,1,2025
Department of Energy,2025,5,1428902167.58,2,2025
Department of Energy,2025,6,2254213701.65,3,2025
Department of Energy,2025,7,4891762416.400001,4,2025
Department of Energy,2025,8,9603529829.089998,5,2025
Department of Energy,2025,9,3172291909.34,6,2025
Department of Energy,2025,10,3560173793.3399997,7,2025
Department of Energy,2025,11,2962944826.87,8,2025
Department of Energy,2025,12,6643594689.88,9,2025
Department of Housing and Urban Development,2015,1,4229121860.7299995,10,2014
Department of Housing and Urban Development,2015,2,663653478.25,11,2014
Department of Housing and Urban Development,2015,3,3353322394.14,12,2014
Department of Housing and Urban Development,2015,4,3994476456.08,1,2015
Department of Housing and Urban Development,2015,5,2712514606.5,2,2015
Department of Housing and Urban Development,2015,6,14723966960.94,3,2015
Department of Housing and Urban Development,2015,7,3367855098.79,4,2015
Department of Housing and Urban Development,2015,8,389717996.55,5,2015
Department of Housing and Urban Development,2015,9,5330784887.84,6,2015
Department of Housing and Urban Development,2015,10,1574440763.9799998,7,2015
Department of Housing and Urban Development,2015,11,2363922450.93,8,2015
Department of Housing and Urban Development,2015,12,5408518285.67,9,2015
Department of Housing and Urban Development,2016,1,4563157124.71,10,2015
Department of Housing and Urban Development,2016,2,484631645.27,11,2015
Department of Housing and Urban Development,2016,3,4175915896.71,12,2015
Department of Housing and Urban Development,2016,4,2279269795.03,1,2016
Department of Housing and Urban Development,2016,5,2410165809.2899995,2,2016
Department of Housing and Urban Development,2016,6,16011595072.689999,3,2016
Department of Housing and Urban Development,2016,7,5147941282.76,4,2016
Department of Housing and Urban Development,2016,8,778541506.55,5,2016
Department of Housing and Urban Development,2016,9,1979353550.55,6,2016
Department of Housing and Urban Development,2016,10,711968729.25,7,2016
Department of Housing and Urban Development,2016,11,3985963639.32,8,2016
Department of Housing and Urban Development,2016,12,4547700213.949999,9,2016
Department of Housing and Urban Development,2017,1,3933341787.44,10,2016
Department of Housing and Urban Development,2017,2,1053051573.74,11,2016
Department of Housing and Urban Development,2017,3,5124541042.59,12,2016
Department of Housing and Urban Development,2017,4,9622883037.26,1,2017
Department of Housing and Urban Development,2017,5,4774661682.92,2,2017
Department of Housing and Urban Development,2017,6,4259266026.9900002,3,2017
Department of Housing and Urban Development,2017,7,3011840931.7000003,4,2017
Department of Housing and Urban Development,2017,8,1088953718.5500002,5,2017
Department of Housing and Urban Development,2017,9,8973209530.56,6,2017
Department of Housing and Urban Development,2017,10,2961561776.9,7,2017
Department of Housing and Urban Development,2017,11,1620977549.88,8,2017
Department of Housing and Urban Development,2017,12,7574081396.400001,9,2017
Department of Housing and Urban Development,2018,1,6915303283.57,10,2017
Department of Housing and Urban Development,2018,2,274948745.76,11,2017
Department of Housing and Urban Development,2018,3,5089424381.76,12,2017
Department of Housing and Urban Development,2018,4,2858360936.69,1,2018
Department of Housing and Urban Development,2018,5,2913786944.3399997,2,2018
Department of Housing and Urban Development,2018,6,4513075616.73,3,2018
Department of Housing and Urban Development,2018,7,2762888911.47,4,2018
Department of Housing and Urban Development,2018,8,8768514131.720001,5,2018
Department of Housing and Urban Development,2018,9,7183864205.77,6,2018
Department of Housing and Urban Development,2018,10,3583704828.799999,7,2018
Department of Housing and Urban Development,2018,11,8003554206.4800005,8,2018
Department of Housing and Urban Development,2018,12,4996709688.2300005,9,2018
Department of Housing and Urban Development,2019,1,4483456149.15,10,2018
Department of Housing and Urban Development,2019,2,342652127.88000005,11,2018
Department of Housing and Urban Development,2019,3,5667572746.04,12,2018
Department of Housing and Urban Development,2019,4,1674775378.2600002,1,2019
Department of Housing and Urban Development,2019,5,7678163604.059999,2,2019
Department of Housing and Urban Development,2019,6,-89138854.05999994,3,2019
Department of Housing and Urban Development,2019,7,3936295172.87,4,2019
Department of Housing and Urban Development,2019,8,13975074686.970001,5,2019
Department of Housing and Urban Development,2019,9,1283140346.25,6,2019
Department of Housing and Urban Development,2019,10,1022967405.2700001,7,2019
Department of Housing and Urban Development,2019,11,2399958522.25,8,2019
Department of Housing and Urban Development,2019,12,5653697071.04,9,2019
Department of Housing and Urban Development,2020,1,3962381115.42,10,2019
Department of Housing and Urban Development,2020,2,4691246311.0,11,2019
Department of Housing and Urban Development,2020,3,1891222975.08,12,2019
Department of Housing and Urban Development,2020,4,1770378439.5200005,1,2020
Department of Housing and Urban Development,2020,5,7185448788.32,2,2020
Department of Housing and Urban Development,2020,6,7476610153.87,3,2020
Department of Housing and Urban Development,2020,7,13361841390.130001,4,2020
Department of Housing and Urban Development,2020,8,2595763733.3599997,5,2020
Department of Housing and Urban Development,2020,9,2870740027.2,6,2020
Department of Housing and Urban Development,2020,10,1403182152.45,7,2020
Department of Housing and Urban Development,2020,11,3473605634.58,8,2020
Department of Housing and Urban Development,2020,12,6096751560.66,9,2020
Department of Housing and Urban Development,2021,1,4506622261.099999,10,2020
Department of Housing and Urban Development,2021,2,3099673994.8700004,11,2020
Department of Housing and Urban Development,2021,3,7958162328.250001,12,2020
Department of Housing and Urban Development,2021,4,5052998240.53,1,2021
Department of Housing and Urban Development,2021,5,7622810430.53,2,2021
Department of Housing and Urban Development,2021,6,11372643519.9,3,2021
Department of Housing and Urban Development,2021,7,10555608549.999998,4,2021
Department of Housing and Urban Development,2021,8,16879382092.929998,5,2021
Department of Housing and Urban Development,2021,9,930886335.8799999,6,2021
Department of Housing and Urban Development,2021,10,2060624329.1299996,7,2021
Department of Housing and Urban Development,2021,11,5496238869.73,8,2021
Department of Housing and Urban Development,2021,12,7594981578.120001,9,2021
Department of Housing and Urban Development,2022,1,1622939722.7100005,10,2021
Department of Housing and Urban Development,2022,2,9052481100.9,11,2021
Department of Housing and Urban Development,2022,3,-317534506.6700001,12,2021
Department of Housing and Urban Development,2022,4,4582989886.89,1,2022
Department of Housing and Urban Development,2022,5,973347979.3899999,2,2022
Department of Housing and Urban Development,2022,6,2367495420.17,3,2022
Department of Housing and Urban Development,2022,7,4462947269.679999,4,2022
Department of Housing and Urban Development,2022,8,14701829147.02,5,2022
Department of Housing and Urban Development,2022,9,7911751925.340001,6,2022
Department of Housing and Urban Development,2022,10,-142756853.20999998,7,2022
Department of Housing and Urban Development,2022,11,2683738943.0,8,2022
Department of Housing and Urban Development,2022,12,6957704414.13,9,2022
Department of Housing and Urban Development,2023,1,4492006959.51,10,2022
Department of Housing and Urban Development,2023,2,6007649478.37,11,2022
Department of Housing and Urban Development,2023,3,5960027579.490002,12,2022
Department of Housing and Urban Development,2023,4,73188126.56,1,2023
Department of Housing and Urban Development,2023,5,6825052605.04,2,2023
Department of Housing and Urban Development,2023,6,8161942736.16,3,2023
Department of Housing and Urban Development,2023,7,8663228948.68,4,2023
Department of Housing and Urban Development,2023,8,15648653295.33,5,2023
Department of Housing and Urban Development,2023,9,1058532788.02,6,2023
Department of Housing and Urban Development,2023,10,3473086162.94,7,2023
Department of Housing and Urban Development,2023,11,5916284412.74,8,2023
Department of Housing and Urban Development,2023,12,6611728406.03,9,2023
Department of Housing and Urban Development,2024,1,5153811213.37,10,2023
Department of Housing and Urban Development,2024,2,4715167144.28,11,2023
Department of Housing and Urban Development,2024,3,4279108511.93,12,2023
Department of Housing and Urban Development,2024,4,4540619726.2,1,2024
Department of Housing and Urban Development,2024,5,6328406760.5199995,2,2024
Department of Housing and Urban Development,2024,6,3981207039.69,3,2024
Department of Housing and Urban Development,2024,7,2795773597.5,4,2024
Department of Housing and Urban Development,2024,8,18168825395.83,5,2024
Department of Housing and Urban Development,2024,9,7487226935.6,6,2024
Department of Housing and Urban Development,2024,10,3258134612.46,7,2024
Department of Housing and Urban Development,2024,11,6530172615.36,8,2024
Department of Housing and Urban Development,2024,12,7686644966.53,9,2024
Department of Housing and Urban Development,2025,1,1903314426.6999998,10,2024
Department of Housing and Urban Development,2025,2,6471529495.58,11,2024
Department of Housing and Urban Development,2025,3,8268951156.629999,12,2024
Department of Housing and Urban Development,2025,4,8274312649.97,1,2025
Department of Housing and Urban Development,2025,5,-525474857.85,2,2025
Department of Housing and Urban Development,2025,6,4480287838.7,3,2025
Department of Housing and Urban Development,2025,7,3587130617.74,4,2025
Department of Housing and Urban Development,2025,8,17424799238.72,5,2025
Department of Housing and Urban Development,2025,9,6313534112.15,6,2025
Department of Housing and Urban Development,2025,10,2376795885.67,7,2025
Department of Housing and Urban Development,2025,11,8437578177.580001,8,2025
Department of Housing and Urban Development,2025,12,10722797484.75,9,2025
Department of Homeland Security,2015,1,1015311427.4,10,2014
Department of Homeland Security,2015,2,1610230580.3700001,11,2014
Department of Homeland Security,2015,3,1171502518.3999999,12,2014
Department of Homeland Security,2015,4,1076402912.27,1,2015
Department of Homeland Security,2015,5,1106707079.45,2,2015
Department of Homeland Security,2015,6,1785210297.21,3,2015
Department of Homeland Security,2015,7,1838828710.12,4,2015
Department of Homeland Security,2015,8,2114912787.99,5,2015
Department of Homeland Security,2015,9,2932827131.45,6,2015
Department of Homeland Security,2015,10,2840636945.07,7,2015
Department of Homeland Security,2015,11,3109842327.99,8,2015
Department of Homeland Security,2015,12,3744413671.39,9,2015
Department of Homeland Security,2016,1,999184633.36,10,2015
Department of Homeland Security,2016,2,2393628879.84,11,2015
Department of Homeland Security,2016,3,2258155300.5600004,12,2015
Department of Homeland Security,2016,4,1109625774.33,1,2016
Department of Homeland Security,2016,5,1457888329.8100002,2,2016
Department of Homeland Security,2016,6,1531595717.01,3,2016
Department of Homeland Security,2016,7,1448080211.1599998,4,2016
Department of Homeland Security,2016,8,1818509775.9899998,5,2016
Department of Homeland Security,2016,9,1897592811.45,6,2016
Department of Homeland Security,2016,10,3532429887.17,7,2016
Department of Homeland Security,2016,11,3639962175.9,8,2016
Department of Homeland Security,2016,12,4652606095.87,9,2016
Department of Homeland Security,2017,1,1795012287.1399999,10,2016
Department of Homeland Security,2017,2,1704152097.06,11,2016
Department of Homeland Security,2017,3,2187768827.92,12,2016
Department of Homeland Security,2017,4,1881727622.27,1,2017
Department of Homeland Security,2017,5,1231982239.65,2,2017
Department of Homeland Security,2017,6,1369081876.05,3,2017
Department of Homeland Security,2017,7,1222210016.0200002,4,2017
Department of Homeland Security,2017,8,1239808954.22,5,2017
Department of Homeland Security,2017,9,2069040488.14,6,2017
Department of Homeland Security,2017,10,2089397641.9599998,7,2017
Department of Homeland Security,2017,11,2386276665.44,8,2017
Department of Homeland Security,2017,12,9794601250.57,9,2017
Department of Homeland Security,2018,1,6875752460.59,10,2017
Department of Homeland Security,2018,2,4834081200.52,11,2017
Department of Homeland Security,2018,3,3466445567.31,12,2017
Department of Homeland Security,2018,4,2579475000.5699997,1,2018
Department of Homeland Security,2018,5,1947070222.57,2,2018
Department of Homeland Security,2018,6,3054747651.5000005,3,2018
Department of Homeland Security,2018,7,2545439350.1699996,4,2018
Department of Homeland Security,2018,8,2782423531.69,5,2018
Department of Homeland Security,2018,9,2395245665.42,6,2018
Department of Homeland Security,2018,10,2355402717.8,7,2018
Department of Homeland Security,2018,11,5104911839.86,8,2018
Department of Homeland Security,2018,12,6286328672.179999,9,2018
Department of Homeland Security,2019,1,1905326456.77,10,2018
Department of Homeland Security,2019,2,1919622504.39,11,2018
Department of Homeland Security,2019,3,2492835419.6800003,12,2018
Department of Homeland Security,2019,4,1298246995.95,1,2019
Department of Homeland Security,2019,5,1923664835.6699998,2,2019
Department of Homeland Security,2019,6,2540018930.9,3,2019
Department of Homeland Security,2019,7,1979558394.6699998,4,2019
Department of Homeland Security,2019,8,2362765550.88,5,2019
Department of Homeland Security,2019,9,2357662821.39,6,2019
Department of Homeland Security,2019,10,2718113268.89,7,2019
Department of Homeland Security,2019,11,4074129997.2099996,8,2019
Department of Homeland Security,2019,12,5779790272.96,9,2019
Department of Homeland Security,2020,1,1412299517.8500001,10,2019
Department of Homeland Security,2020,2,1484813851.65,11,2019
Department of Homeland Security,2020,3,1827587514.6000001,12,2019
Department of Homeland Security,2020,4,2205929689.2799997,1,2020
Department of Homeland Security,2020,5,2201668852.72,2,2020
Department of Homeland Security,2020,6,3681612738.26,3,2020
Department of Homeland Security,2020,7,4910776103.27,4,2020
Department of Homeland Security,2020,8,3213660509.5,5,2020
Department of Homeland Security,2020,9,3702633952.95,6,2020
Department of Homeland Security,2020,10,2867562028.22,7,2020
Department of Homeland Security,2020,11,24355545121.090004,8,2020
Department of Homeland Security,2020,12,41081816700.18,9,2020
Department of Homeland Security,2021,1,2577570242.2999997,10,2020
Department of Homeland Security,2021,2,2371662985.24,11,2020
Department of Homeland Security,2021,3,2462978082.71,12,2020
Department of Homeland Security,2021,4,11595619417.119999,1,2021
Department of Homeland Security,2021,5,1514061945.2700002,2,2021
Department of Homeland Security,2021,6,7051127441.809999,3,2021
Department of Homeland Security,2021,7,7782017228.089999,4,2021
Department of Homeland Security,2021,8,6062698162.429999,5,2021
Department of Homeland Security,2021,9,4720039819.670001,6,2021
Department of Homeland Security,2021,10,4502774583.689999,7,2021
Department of Homeland Security,2021,11,5360673884.6,8,2021
Department of Homeland Security,2021,12,9891660621.86,9,2021
Department of Homeland Security,2022,1,3079862611.3799996,10,2021
Department of Homeland Security,2022,2,2522350079.37,11,2021
Department of Homeland Security,2022,3,7327076127.01,12,2021
Department of Homeland Security,2022,4,4909571030.31,1,2022
Department of Homeland Security,2022,5,3409739790.4399996,2,2022
Department of Homeland Security,2022,6,4512297404.86,3,2022
Department of Homeland Security,2022,7,3377249817.23,4,2022
Department of Homeland Security,2022,8,4799327104.39,5,2022
Department of Homeland Security,2022,9,5486035012.05,6,2022
Department of Homeland Security,2022,10,5993724333.7300005,7,2022
Department of Homeland Security,2022,11,7031254350.910001,8,2022
Department of Homeland Security,2022,12,9707827592.4,9,2022
Department of Homeland Security,2023,1,6059432203.679999,10,2022
Department of Homeland Security,2023,2,2675804618.92,11,2022
Department of Homeland Security,2023,3,3708028345.17,12,2022
Department of Homeland Security,2023,4,4008386980.25,1,2023
Department of Homeland Security,2023,5,5170484237.369999,2,2023
Department of Homeland Security,2023,6,5923263020.369999,3,2023
Department of Homeland Security,2023,7,3157073548.3299994,4,2023
Department of Homeland Security,2023,8,6114463764.48,5,2023
Department of Homeland Security,2023,9,4389081845.29,6,2023
Department of Homeland Security,2023,10,5743268241.86,7,2023
Department of Homeland Security,2023,11,5369544563.67,8,2023
Department of Homeland Security,2023,12,9034404469.800001,9,2023
Department of Homeland Security,2024,1,5722824768.34,10,2023
Department of Homeland Security,2024,2,3696670365.58,11,2023
Department of Homeland Security,2024,3,4494242062.879999,12,2023
Department of Homeland Security,2024,4,4339321230.82,1,2024
Department of Homeland Security,2024,5,5327057582.18,2,2024
Department of Homeland Security,2024,6,3919126591.55,3,2024
Department of Homeland Security,2024,7,5311697384.290001,4,2024
Department of Homeland Security,2024,8,5120115945.110001,5,2024
Department of Homeland Security,2024,9,4454091748.030001,6,2024
Department of Homeland Security,2024,10,7182826633.970001,7,2024
